book_id,title,author,year_published,setting,about,page,url
1,The Jump-off Creek,Molly Gloss,2014,Rural Oregon,An unromanticized portrait of a pioneer woman making her own way in 1890's Oregon.,Daily,https://www.goodreads.com/book/show/671859.The_Jump_Off_Creek
2,The Golden Spruce,John Vaillant ,2006,"Queen Charlotte Islands, British Colombia","A tree sacred to Native peoples, the white man who destroyed it, and the history of environmental pillage that defines the Pacific Northwest.",Daily,https://www.goodreads.com/book/show/88335.The_Golden_Spruce
3,Sometimes a Great Notion,Ken Kesey,1964,Rural Oregon,"Considered the great Pacific Northwest Novel, a tale of jealousy and madness set against a logging labor dispute.",Daily,https://www.goodreads.com/book/show/529626.Sometimes_a_Great_Notion
4,The Hotel on the Corner of Bitter and Sweet,Jamie Ford,2009,"Chinatown/International District, Seattle",A young Japanese-American boy experiences his first love against the backdrop of Japanese Internment.,Daily,https://www.goodreads.com/book/show/3367956-hotel-on-the-corner-of-bitter-and-sweet
5,Night Dogs,Kent Anderson,1996,"Portland, Oregon","A Vietnam War veteran struggles to maintain his humanity as a street cop in Portland, Oregon, in this brutal yet well-written accounting of the cost of war on one man's psyche.",Daily,https://www.goodreads.com/book/show/165475.Night_Dogs
6,The Good Rain,Timothy Egan,1990,"Washington state, British Colombia","A journalist retraces the path of an early white explorer of the Pacific Northwest, and gains a clearer understanding of the link between the region's history and its present.",Daily,https://www.goodreads.com/book/show/152109.The_Good_Rain
7,Housekeeping,Marilynne Robinson,1980,Rural Idaho,Two young and isolated sisters struggle toward adulthood under the care of their eccentric aunt.,Daily,https://www.goodreads.com/book/show/11741.Housekeeping
8,Where'd You Go Bernadette,Maria Semple,2012,"Seattle, Washington",,Books,https://www.goodreads.com/book/show/13526165-where-d-you-go-bernadette
9,West of Here,Jonathan Evison,2012,"Port Angeles, Washington",,Books,https://www.goodreads.com/book/show/7865197-west-of-here
10,The Boys in the Boat,Daniel James Brown,2013,"Seattle, Washington",A group of University of Washington students compete in rowing in the 1936 Berlin Olympics.,Books,https://www.goodreads.com/book/show/16158542-the-boys-in-the-boat
11,The Lone Ranger and Tonto Fistfight in Heaven,Sherman Alexie,1993,"Spokane area, Washington",A collection of linked short stories that paint a portrait of Native life in rural Washington.,Books,https://www.goodreads.com/book/show/52873.The_Lone_Ranger_and_Tonto_Fistfight_in_Heaven
12,Still Life with Woodpecker,Tom Robbins,1980,"Seattle, Washington",An absurdist comedy love story.,Books,https://www.goodreads.com/book/show/9566.Still_Life_with_Woodpecker
13,Stanley Park,Timothy Taylor,2001,"Vancouver, British Colombia",A disgruntled restauranteur takes revenge on an internationalized food scene by serving what he can poach locally.,Books,https://www.goodreads.com/book/show/8645.Stanley_Park
14,Your Heart is a Muscle the Size of a Fist,Sunil Yapa,2016,"Seattle, Washington",A highly romanticized portrait of fictional characters in the 1999 WTO protests in Seattle.,Books,https://www.goodreads.com/book/show/25604513-your-heart-is-a-muscle-the-size-of-a-fist
15,Of Orcas and Men,David Neiwert,2015,Pacific Ocean,"An appreciation of the beauty and power of Orca whales, as well as their tenuous existence.",Books,https://www.goodreads.com/book/show/20893623-of-orcas-and-men
16,Honey in the Horn,H. L. Davis,1935,Rural Oregon,"A novel about Oregon homesteaders, this is the only Pacific Northwest novel to have won the Pulitzer Prize.",Books,https://www.goodreads.com/book/show/1052571.Honey_in_the_Horn
17,Atomic Frontier Days: Hanford and the American West,Bruce W. Hevly and John M. Findlay,2011,"Tri-Cities, Washington",A history of the Hanford Nuclear Site.,Books,https://www.goodreads.com/book/show/11713822-atomic-frontier-days
18,The Cold Millions,Jess Walter,2021,"Spokane, Washington",A historical novel set during the labor struggle in early-1900s Washington.,Books,https://www.goodreads.com/book/show/50358038-the-cold-millions
19,"Astoria: John Jacob Astor and Thomas Jefferson's Lost Pacific Empire: A Story of Wealth, Ambition, and Survival",Peter Stark,2014,"Astoria, Oregon",A history of the original founders of Astoria and their failed venture West.,Books,https://www.goodreads.com/book/show/18085481-astoria
